Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C9",0805,3,2.2uF,
C10,0805,1,10nF,
"C11, C12, C13",0805,3,10uF,
"C2, C3, C7, C8",CP_Elec_6.3x7.7,4,47uF,
"C5, C6",0805,2,22nF,
"D1, D3",D_SOD-323_HandSoldering,2,1N4148,
D2,D_SMA_Handsoldering,1,1SMA4746A,
J1,Jack_XLR_Neutrik_NC3MAAH_Horizontal,1,XLR3,
MK1,NA-FFA381-A10-1_MEMS_mic_analog_v1,1,NA-FFA381-A10-1,
"R1, R4, R5, R8, R9",0805,5,15k,
R10,0805,1,470R,
"R2, R3",0805,2,3k,
"R6, R7",0805,2,47R,
TP1,TestPoint_Pad_D1.0mm,1,T_Sig,
TP2,TestPoint_Pad_2.5x2.5mm,1,T_Gnd,
TP3,TestPoint_Pad_2.5x2.5mm,1,T_Vcc1,
TP4,TestPoint_Pad_2.5x2.5mm,1,T_V/2,
TP5,TestPoint_Pad_2.5x2.5mm,1,T_Vcc2,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA1652,
U2,SOT-23,1,PJ71K30SC,
