Designator,Mid X,Mid Y,Rotation,Layer
C1,145.8,-99.5,180.0,top
C10,146.8,-114.1,180.0,top
C11,141.0,-117.7375,270.0,top
C12,153.8,-110.0375,270.0,top
C13,160.2,-114.6,270.0,top
C2,146.4,-110.8,0.0,bottom
C3,156.9,-110.8,0.0,bottom
C4,157.3,-103.3,90.0,top
C5,146.9,-131.0,270.0,top
C6,144.4,-131.0,270.0,top
C7,146.4,-118.3,0.0,bottom
C8,156.9,-118.3,0.0,bottom
C9,150.8,-114.1,0.0,top
D1,160.9,-119.8,270.0,top
D2,150.5,-117.6,180.0,top
D3,158.5,-110.7375,0.0,top
H1,160.0,-127.0,0.0,top
H2,141.0,-127.0,0.0,top
J1,150.31,-132.645,0.0,bottom
JP1,154.7,-130.9,90.0,top
JP2,145.35,-102.8075,0.0,bottom
JP3,145.3,-100.0575,0.0,bottom
MK1,150.5,-98.675,0.0,top
R1,143.8,-103.4,180.0,top
R10,151.3,-110.0,90.0,top
R2,144.6,-108.4,270.0,top
R3,157.3,-107.5,90.0,top
R4,157.5,-121.8,270.0,top
R5,153.9,-121.8,90.0,top
R6,146.8,-121.8,270.0,top
R7,150.3,-121.8,270.0,top
R8,143.3,-115.7,90.0,top
R9,143.3,-119.7,90.0,top
TP1,142.6,-107.4,0.0,top
TP2,139.6,-121.2,180.0,bottom
TP3,139.6,-114.2,90.0,bottom
TP4,139.6,-107.2,180.0,bottom
TP5,139.6,-100.2,180.0,bottom
U1,150.5,-104.7,270.0,top
U2,157.2,-114.6,270.0,top
